platform,tier_or_plan,event_date,event_type,price_before_usd,price_after_usd,percent_change,country,notes,source_publication
Netflix,Standard-only (streaming),2011,launch,,7.99,,US,Streaming-only tier launch,Android Authority
Netflix,Premium (4-screen),2013,launch,,11.99,,US,New top tier launch,9meters
Netflix,Standard,2014-05,increase,7.99,8.99,12.5,US,,Comparitech
Netflix,Standard,2015,increase,8.99,9.99,11.1,US,,Comparitech
Netflix,Standard,2017,increase,9.99,10.99,10.0,US,,Comparitech
Netflix,Premium,2017,increase,11.99,13.99,16.7,US,,Comparitech
Netflix,Basic,2019,increase,7.99,8.99,12.5,US,,Comparitech
Netflix,Standard,2019,increase,10.99,12.99,18.2,US,,Comparitech
Netflix,Premium,2019,increase,13.99,15.99,14.3,US,,Comparitech
Netflix,Standard,2020,increase,12.99,13.99,7.7,US,,9meters
Netflix,Premium,2020,increase,15.99,17.99,12.5,US,,9meters
Netflix,Basic,2022-01,increase,8.99,9.99,11.1,US,,BGR
Netflix,Standard,2022-01,increase,13.99,15.49,10.7,US,,BGR
Netflix,Premium,2022-01,increase,17.99,19.99,11.1,US,,BGR
Netflix,Standard with Ads,2022-11,launch,,6.99,,US,New ad-supported tier launch,ABC7 Chicago
Netflix,Premium,2023-10,increase,19.99,22.99,15.0,US,,ABC7 Chicago
Netflix,Standard with Ads,2025-01-21,increase,6.99,7.99,14.3,US,,9meters
Netflix,Standard,2025-01-21,increase,15.49,17.99,16.1,US,,9meters
Netflix,Premium,2025-01-21,increase,22.99,24.99,8.7,US,,9meters
Netflix,Standard with Ads,2026-03-26,increase,7.99,8.99,12.5,US,,Android Authority
Netflix,Standard,2026-03-26,increase,17.99,19.99,11.1,US,,Android Authority
Netflix,Premium,2026-03-26,increase,24.99,26.99,8.0,US,,Android Authority
Disney+,Ad-free,2019-11,launch,,6.99,,US,,Reuters
Disney+,Ad-free,2021-03,increase,6.99,7.99,14.3,US,,A Good Movie To Watch
Disney+,Ad-free,2022-12,increase,7.99,10.99,37.5,US,,A Good Movie To Watch
Disney+,Ad-supported,2022-12,launch,,7.99,,US,New ad-supported tier launch,A Good Movie To Watch
Disney+,Ad-free,2023-10-12,increase,10.99,13.99,27.3,US,,GSMArena
Disney+,Ad-free,2024-10-17,increase,13.99,15.99,14.3,US,,WDWNT
Disney+,Ad-supported,2024-10-17,increase,7.99,9.99,25.0,US,,WDWNT
Disney+,Ad-free,2025-10-21,increase,15.99,18.99,18.8,US,,Reuters/BNN Bloomberg
Disney+,Ad-supported,2025-10-21,increase,9.99,11.99,20.0,US,,Reuters/BNN Bloomberg
Hulu,Ad-supported (Hulu Plus),2010,launch,,7.99,,US,,cabletv.com
Hulu,Ad-free,2015,launch,,11.99,,US,New ad-free tier launch,AOL
Hulu,Ad-supported,2019,decrease,7.99,5.99,-25.0,US,Only price decrease found across all 10 platforms,TechRadar
Hulu,Ad-supported,2021,increase,5.99,6.99,16.7,US,,AOL
Hulu,Ad-free,2021,increase,11.99,12.99,8.3,US,,AOL
Hulu,Ad-supported,2022-10-10,increase,6.99,7.99,14.3,US,,BGR
Hulu,Ad-free,2022-10-10,increase,12.99,14.99,15.4,US,,BGR
Hulu,Ad-free,2023-10-12,increase,14.99,17.99,20.0,US,,PhoneArena
Hulu,Ad-supported,2024-10-17,increase,7.99,9.99,25.0,US,,TechRadar
Hulu,Ad-free,2024-10-17,increase,17.99,18.99,5.6,US,,TechRadar
Hulu,Ad-supported,2025-10-21,increase,9.99,11.99,20.0,US,,TechRadar
Max,Ad-free,2020-05,launch,,14.99,,US,Launched as HBO Max,Variety
